en_cue,en_target,ukr_cue,ukr_target,needs_review,suggested_ukr_cue,final_ukr_cue,backtrans_cue,backtrans_target,backtrans_cue_match,backtrans_target_match,backtrans_needs_review
bonus,reward,бонус,винагорода,False,,бонус,the bonus,reward,False,True,True
poor,rich,бідний,багатий,False,,бідний,poor,wealthy,True,False,True
drive,ride,привід,їздити,False,,привід,the drive,to drive,False,False,True
steal,rob,вкрасти,роб,False,,вкрасти,steal,the slave,True,False,True
theft,robbery,крадіжка,пограбування,False,,крадіжка,theft,theft,True,False,True
dramatic,romantic,драматичний,романтична,False,,драматичний,dramatic,romantic,True,True,False
caesar,rome,цезарь,рим,False,,цезарь,caesar please,rome,False,True,True
chain,rope,ланцюг,мотузка,False,,ланцюг,chain,the motor,True,False,True
turn,rotate,поворот,обертати,False,,поворот,turn around,rotate,False,True,True
espionage,sabotage,шпигунство,саботаж,False,,шпигунство,the spying,the sabotage,False,False,True
security,safety,безпека,безпека,True,захист,захист,defense,safety,False,True,True
anchor,sail,якорь,вітрило,False,,якорь,the anchor,the wind,False,False,True
pirate,sailor,пірат,моряк,False,,пірат,the pirate,the sailor,False,False,True
soup,salad,суп,салат,False,,суп,soup,the salad,True,False,True
pension,salary,пенсія,зарплата,False,,пенсія,pension,salary,True,True,False
auction,sale,аукціон,продаж,False,,аукціон,the auction,the sale,False,False,True
ninja,samurai,я,самураї,False,,я,i did,the samurai,False,False,True
mud,sand,брудь,пісок,False,,брудь,the dirt,the sand,False,False,True
radar,satellite,радар,супутник,False,,радар,the radar,the satellite,False,False,True
cream,sauce,крем,соус,False,,крем,cream,sauce,True,True,False
rescue,save,порятунок,зберегти,False,,порятунок,the rescue,keep it,False,False,True
hero,savior,герой,спаситель,False,,герой,the hero,the savior,False,False,True
gossip,scandal,плітки,скандал,False,,плітки,the tiles,the scandal,False,False,True
tattoo,scar,татуювання,шрам,False,,татуювання,tattooing,the scar,False,False,True
calendar,schedule,календар,розклад,False,,календар,calendar and calendar,the layout,False,False,True
class,school,клас,школа,False,,клас,class,school,True,True,False
technology,science,технологія,наука,False,,технологія,technology,science,True,True,False
genius,scientist,геній,вчений,False,,геній,the genius,scientist,False,True,True
safe,secure,безпечно,безпечно,True,добре,добре,very well,safe,False,False,True
choose,select,вибрати,вибрати,True,opt,opt,eight,select,False,True,True
stubborn,selfish,впертий,егоїстичний,False,,впертий,stubborn,selfish,True,True,False
buy,sell,купити,продати,False,,купити,to buy,to sell,False,False,True
parliament,senate,парламент,сенат,False,,парламент,parliament,senate,True,True,False
governor,senator,губернатор,сенатор,False,,губернатор,governor,senator,True,True,False
bring,send,принесіть,відправити,False,,принесіть,bring it,to send,False,False,True
delicate,sensitive,делікатний,чутливий,False,,делікатний,delicate,sensitive,True,True,False
word,sentence,слово,речення,False,,слово,the word,the sentence,False,False,True
speech,sermon,промова,проповідь,False,,промова,speech,the sermon,True,False,True
slave,servant,раб,слуга,False,,раб,the slave,the servant,False,False,True
refuge,shelter,притулок,притулок,True,безпека,безпека,safety,shelter,False,True,True
crew,ship,екіпаж,корабель,False,,екіпаж,the crew,ship,False,True,True
boot,shoe,завантаження,взуття,False,,завантаження,loading,shoes,False,False,True
shot,shoot,стрілянину,стріляти,False,,стрілянину,the shooting,shoot,False,True,True
ill,sick,хворий,хворий,True,хвороба,хвороба,illness,the sick,False,False,True
form,sign,форма,знак,False,,форма,form,the sign,True,False,True
frequency,signal,частота,сигнал,False,,частота,frequency,the signal,True,False,True
stamp,signature,штамп,підпис,False,,штамп,the stamp,signed,False,False,True
silent,silence,тихо,тиша,False,,тихо,quietly,shut up,False,False,True
golden,silver,золотий,срібло,False,,золотий,gold,silver,False,True,True
simply,simple,просто,просто,True,очевидно,очевидно,obviously,its easy,False,False,True
toilet,sink,туалет,раковина,False,,туалет,the toilet,the sink,False,False,True
drop,sip,падіння,глоток,False,,падіння,the fall,a sip,False,False,True
stand,sit,стоянка,сидіти,False,,стоянка,the stop,to sit,False,False,True
bone,skull,кістка,череп,False,,кістка,the bone,the skull,False,False,True
rest,sleep,відпочинок,спати,False,,відпочинок,rest,sleep,True,True,False
little,small,невеликий,невеликі,False,,невеликий,small,small,False,True,True
taste,smell,смак,запах,False,,смак,the taste,the smell,False,False,True
worm,snake,червяк,змія,False,,червяк,worm,the snake,True,False,True
shooter,sniper,стрільця,снайпер,False,,стрільця,the shooter,the sniper,False,False,True
rain,snow,дощ,сніг,False,,дощ,rain,snow,True,True,False
lemonade,soda,лимонад,сода,False,,лимонад,lemonade,soda and,True,False,True
lunar,solar,місячний,сонячна,False,,місячний,the lunar,sunny,False,False,True
nothing,something,нічого,щось,False,,нічого,its all right,something,False,True,True
elsewhere,somewhere,в іншому місці,десь,False,,в іншому місці,elsewhere,somewhere,True,True,False
daughter,son,дочка,син,False,,дочка,daughter,the son,True,False,True
album,song,альбом,пісня,False,,альбом,the album,the song,False,False,True
noise,sound,шум,звук,False,,шум,noise,sound,True,True,False
lasagna,spaghetti,лазанья,спагеті,False,,лазанья,the lasagna,spaghetti and cheese,False,False,True
talk,speak,розмова,говоріть,False,,розмова,the conversation,speak up,False,False,True
expert,specialist,експерт,спеціаліст,False,,експерт,expert,specialist,True,True,False
sensational,spectacular,сенсаційний,вражаюче,False,,сенсаційний,sensational,it was amazing,True,False,True
distance,speed,відстань,швидкість,False,,відстань,the distance,speed,False,True,True
waste,spend,відходи,витратити,False,,відходи,waste,spend,True,True,False
soul,spirit,душа,дух,False,,душа,the soul,the spirit,False,False,True
hobby,sport,хобі,спорт,False,,хобі,his hobbies,sports,False,False,True
celebrity,star,знаменитість,зірка,False,,знаменитість,celebrity,the star,True,False,True
federal,state,федеральний,держава,False,,федеральний,federal,state,True,True,False
comment,statement,коментар,заява,False,,коментар,commentary,the statement,False,False,True
platform,station,платформа,станція,False,,платформа,the platform,the station,False,False,True
monument,statue,памятник,статуя,False,,памятник,the monument,the statue,False,False,True
concrete,steel,бетон,сталь,False,,бетон,the concrete,steel,False,True,True
already,still,вже,ще не,False,,вже,already,not yet,True,False,True
rock,stone,камінь,камінь,True,коливання,коливання,swinging,stone,False,True,True
prevent,stop,запобігти,зупинитися,False,,запобігти,preventing,stop it,False,False,True
shop,store,магазин,магазин,True,снайпер,снайпер,the sniper,the store,False,False,True
wind,storm,вітер,шторм,False,,вітер,the wind,the storm,False,False,True
oven,stove,печ,печ,True,,печ,the furnace,the furnace,False,False,True
unusual,strange,незвично,дивно,False,,незвично,unusual,this is weird,True,False,True
plan,strategy,план,стратегія,False,,план,the plan,the strategy,False,False,True
banana,strawberry,банани,полуниця,False,,банани,the baths,the peninsula,False,False,True
avenue,street,проспект,вулиця,False,,проспект,the avenue,street,False,True,True
hit,strike,ударив,страйк,False,,ударив,hit,the strike,True,False,True
nap,stroll,дрімати,прогулянка,False,,дрімати,to sleep,a walk,False,False,True
firmly,strongly,твердо,сильно,False,,твердо,firmly,strongly,True,True,False
pyramid,structure,піраміда,структура,False,,піраміда,the pyramid,the structure,False,False,True
research,study,дослідження,дослідження,True,досліджувати,досліджувати,to explore,research,False,False,True
naïve,stupid,наївна,дурний,False,,наївна,naive,foolish,False,False,True
madness,stupidity,божевілля,дурість,False,,божевілля,it was madness,foolishness,False,False,True
rhythm,style,ритм,стиль,False,,ритм,rhythm,style,True,True,False
object,subject,обєкт,предмет,False,,обєкт,object,subject matter,True,False,True
replace,substitute,замінити,замінник,False,,замінити,replace,replacement,True,False,True
manage,succeed,керувати,успіх,False,,керувати,to drive,success,False,False,True
enough,sufficient,досить,достатньо,False,,досить,thats enough,enough is enough,False,False,True
propose,suggest,запропонувати,запропонувати,True,проект,проект,project,to propose,False,False,True
briefcase,suitcase,портфель,валіз,False,,портфель,the portfolio,the suitcase,False,False,True
moon,sun,місяць,сонце,False,,місяць,the moon,the sun,False,False,True
saturday,sunday,субота,неділя,False,,субота,saturday,sundays,True,False,True
layer,surface,шар,поверхня,False,,шар,the ball,surface,False,True,True
operate,surgery,працювати,хірургія,False,,працювати,to work,surgery,False,True,True
nickname,surname,прізвище,прізвище,True,дуб,дуб,oak,surname,False,True,True
live,survive,живий,вижити,False,,живий,he is alive,to survive,False,False,True
doubt,suspect,сумніви,підозрюваний,False,,сумніви,doubts,the suspect,False,False,True
drown,swim,утонув,плавати,False,,утонув,drowned,swimming,False,False,True
flag,symbol,прапор,символ,False,,прапор,the flag,the symbol,False,False,True
symptom,syndrome,симптом,синдром,False,,симптом,the symptom,syndrome,False,True,True
needle,syringe,ігла,шприц,False,,ігла,needle,the syringe,True,False,True
network,system,мережа,система,False,,мережа,network,system,True,True,False
potential,talent,потенціал,талант,False,,потенціал,potential,the talent,True,False,True
learn,teach,навчитися,навчати,False,,навчитися,learn to read,teach,False,True,True
student,teacher,студент,вчитель,False,,студент,student,teacher,True,True,False
league,team,ліга,команда,False,,ліга,league,team,True,True,False
method,technique,метод,техніка,False,,метод,method,technology,True,False,True
teenage,teenager,підліток,підліток,True,,підліток,teenage,teenage,True,False,True
call,telephone,дзвонити,телефон,False,,дзвонити,ring the bell,telephone,False,True,True
radio,television,радіо,телебачення,False,,радіо,radio,television,True,True,False
say,tell,скажіть,розкажіть,False,,скажіть,please tell me,tell me about it,False,False,True
heat,temperature,тепло,температура,False,,тепло,warmth,the temperature,False,False,True
golf,tennis,гольф,теніс,False,,гольф,golf course,tennis player,False,False,True
experiment,test,експеримент,випробування,False,,експеримент,the experiment,testing,False,False,True
witness,testimony,свідка,свідчення,False,,свідка,witness,the testimony,True,False,True
grateful,thank,вдячний,дякую,False,,вдячний,thank you,thank you,False,False,True
what,that,що це,що,False,,що це,what is this,what,False,False,True
cinema,theater,кінотеатр,театр,False,,кінотеатр,the cinema,theatre,False,False,True
idea,theory,ідея,теорія,False,,ідея,the idea,the theory,False,False,True
here,there,тут,там,False,,тут,right here,there,False,True,True
thin,thick,тонкий,товстий,False,,тонкий,thin,thick,True,True,False
consider,think,розглянути,подумайте,False,,розглянути,consider,think about it,True,False,True
hunger,thirst,голод,спрага,False,,голод,the hunger,thirst,False,True,True
one,three,один,три,False,,один,one,three,True,True,False
crown,throne,корона,трон,False,,корона,crown,the throne,True,False,True
finger,thumb,палець,палець,True,ширина пальця,ширина пальця,the width of a finger,the finger,False,False,True
lightning,thunder,блискавка,гром,False,,блискавка,the flash,thunder,False,True,True
bind,tie,звязувати,краватка,False,,звязувати,to connect,the tie,False,False,True
detonator,timer,детонатор,таймер,False,,детонатор,the detonator,the timer,False,False,True
skin,tissue,шкіра,тканини,False,,шкіра,the skin,fabrics,False,False,True
name,title,імя,назва,False,,імя,name,name,True,False,True
potato,tomato,картопля,помідор,False,,картопля,potatoes,the tomato,False,False,True
nail,tooth,нігтя,зуб,False,,нігтя,the nail,tooth,False,True,True
hurricane,tornado,ураган,торнадо,False,,ураган,hurricane,the tornado,True,False,True
torment,torture,муки,тортури,False,,муки,pain,torture,False,True,True
blanket,towel,ковдру,рушник,False,,ковдру,the blanket,towel,False,True,True
doll,toy,лялька,іграшка,False,,лялька,the doll,toys,False,False,True
modern,traditional,сучасні,традиційні,False,,сучасні,modern,traditional,True,True,False
sad,tragic,сумно,трагічний,False,,сумно,this is sad,it was tragic,False,False,True
spy,traitor,шпигун,зрадник,False,,шпигун,the spy,the traitor,False,False,True
move,transfer,переміститися,перенесення,False,,переміститися,move,transfer,True,True,False
sensor,transmitter,сенсор,передавач,False,,сенсор,the sensor,transmitter,False,True,True
therapy,treatment,терапія,лікування,False,,терапія,therapy,treatment,True,True,False
bush,tree,кущ,дерево,False,,кущ,the bush,tree,False,True,True
hearing,trial,слух,судовий розгляд,False,,слух,hearing,trial,True,True,False
circle,triangle,круг,трикутник,False,,круг,circle,triangle,True,True,False
double,triple,подвійне,тройний,False,,подвійне,double,triple,True,True,False
jeep,truck,джип,вантажівка,False,,джип,the jeep,the truck,False,False,True
monday,tuesday,понеділок,вівторок,False,,понеділок,monday,tuesday,True,True,False
bridge,tunnel,міст,тунель,False,,міст,cities,the tunnel,False,False,True
chicken,turkey,курка,индюка,False,,курка,the chicken,indian,False,False,True
snail,turtle,улитка,черепаха,False,,улитка,snail,the turtle,True,False,True
disgusting,ugly,огидно,потворний,False,,огидно,its disgusting,ugly,False,True,True
final,ultimate,остаточний,остаточний,True,термінал,термінал,the terminal,final,False,False,True
inability,unable,нездатність,не в змозі,False,,нездатність,disability,not able to,False,False,True
realize,understand,усвідомити,розумію,False,,усвідомити,become aware,i see,False,False,True
suddenly,unexpectedly,раптом,несподівано,False,,раптом,suddenly,unexpectedly,True,True,False
injustice,unfair,несправедливість,несправедливо,False,,несправедливість,injustice,unfairly,True,False,True
badge,uniform,значок,однорідна,False,,значок,the badge,uniform,False,True,True
special,unique,спеціальний,унікальний,False,,спеціальний,special,it is unique,True,False,True
college,university,коледж,університет,False,,коледж,college,college,True,False,True
anonymous,unknown,анонімний,невідоме,False,,анонімний,anonymous,unknown,True,True,False
uncomfortable,unpleasant,незручно,неприємно,False,,незручно,its not comfortable,its not pleasant,False,False,True
down,up,вниз,вгору,False,,вниз,down there,up,False,True,True
lower,upper,нижче,верхній,False,,нижче,lower,the top,True,False,True
blood,urine,кров,сеча,False,,кров,the blood,the urine,False,False,True
apply,use,застосовувати,використання,False,,застосовувати,apply,use of,True,False,True
ordinary,usual,звичайний,зазвичай,False,,звичайний,ordinary,usually,True,False,True
normally,usually,зазвичай,зазвичай,True,не помітно,не помітно,not noticeable,usually,False,True,True
antidote,vaccine,антидот,вакцинація,False,,антидот,the antidote,the vaccination,False,False,True
desert,valley,пустеля,долина,False,,пустеля,the desert,the valley,False,False,True
zombie,vampire,зомбі,вампір,False,,зомбі,the zombies,the vampire,False,False,True
trailer,van,причеп,фургон,False,,причеп,the trailer,the van,False,False,True
cinnamon,vanilla,кориця,ваніль,False,,кориця,cinnamon,and vanilla,True,False,True
valve,ventilation,клапан,вентиляція,False,,клапан,the valve,the ventilation,False,False,True
mars,venus,марс,венера,False,,марс,the mars,and venus,False,False,True
check,verify,перевірка,перевірка,True,вкладка,вкладка,the tab,the inspection,False,False,True
extremely,very,надзвичайно,дуже,False,,надзвичайно,extremely,very much,True,False,True
dvd,video,dvd,відео,False,,dvd,the dvd,the video,False,False,True
camp,village,табір,село,False,,табір,the camp,village,False,True,True
revelation,vision,відкриття,бачення,False,,відкриття,the opening,vision,False,True,True
protein,vitamin,білки,вітамін,False,,білки,proteins,vitamin and minerals,False,False,True
whiskey,vodka,віскі,горілка,False,,віскі,whiskey,the vodka,True,False,True
volunteer,voluntarily,волонтер,добровільно,False,,волонтер,the volunteer,voluntarily,False,True,True
majority,vote,більшість,голосування,False,,більшість,most of them,voting,False,False,True
candidate,voter,кандидат,виборця,False,,кандидат,candidate,electorate,True,False,True
waiter,waitress,офіціант,офіціантка,False,,офіціант,the waiter,the waitress,False,False,True
run,walk,бігти,ходити,False,,бігти,run,to walk,True,False,True
pocket,wallet,кишеню,гаманець,False,,кишеню,my pocket,wallet,False,True,True
soldier,warrior,солдат,воїн,False,,солдат,the soldier,the warrior,False,False,True
clean,wash,чистий,мити,False,,чистий,clean,the myth,True,False,True
look,watch,дивіться,годинник,False,,дивіться,look at that,the clock,False,False,True
sherlock,watson,шерлок,уотсон,False,,шерлок,sherlock please,this is watson,False,False,True
strong,weak,сильний,слабкий,False,,сильний,strongly,weak,False,True,True
treasure,wealth,скарб,багатство,False,,скарб,the treasure,wealth,False,True,True
pistol,weapon,,зброя,False,,,the commission is also working on a document which will facilitate access to information on the implementation of the,weapons,False,False,True
internet,web,інтернет,вебсайт,False,,інтернет,the internet,the website,False,False,True
engagement,wedding,заручення,весілля,False,,заручення,engagement,the wedding,True,False,True
month,week,місяць,тиждень,False,,місяць,the moon,week,False,True,True
daily,weekly,щодня,щотижнево,False,,щодня,every day,weekly,False,True,True
southern,western,південний,західний,False,,південний,southern,western,True,True,False
dry,wet,сухий,мокро,False,,сухий,dry,wetly,True,False,True
horn,whistle,рог,свисток,False,,рог,horn,whistle,True,True,False
narrow,wide,вузький,широкий,False,,вузький,narrow,wide,True,True,False
husband,wife,чоловік,дружина,False,,чоловік,the man,wife,False,True,True
gain,win,прибуток,перемога,False,,прибуток,profit,victory,False,False,True
loser,winner,програвець,переможець,False,,програвець,loser,the winner,True,False,True
summer,winter,літо,зима,False,,літо,summer,the winter,True,False,True
cable,wire,кабель,дріт,False,,кабель,cable,the wire,True,False,True
desire,wish,бажання,бажання,True,надія,надія,hope,desire,False,False,True
curse,witch,прокляття,відьма,False,,прокляття,the curse,the witch,False,False,True
magic,wizard,магія,чарівник,False,,магія,the magic,the wizard,False,False,True
bear,wolf,ведмедь,вовк,False,,ведмедь,the bear,the wolf,False,False,True
widow,woman,вдова,жінка,False,,вдова,widow,woman,True,True,False
job,work,робота,робота,True,бізнес,бізнес,business,work,False,True,True
farmer,worker,фермер,робітник,False,,фермер,farmer,worker,True,True,False
international,world,міжнародний,світ,False,,міжнародний,international,the world,True,False,True
concern,worry,занепокоєння,турбуватися,False,,занепокоєння,worries,to be worried,False,False,True
useless,worthless,безкорисливий,безцінний,False,,безкорисливий,selfless,invaluable,False,False,True
deserve,worthy,заслуговують,гідний,False,,заслуговують,they deserve it,worthy,False,True,True
read,write,прочитати,писати,False,,прочитати,to read,write,False,True,True
poet,writer,поет,письменник,False,,поет,poet,writer,True,True,False
reading,writing,читання,письмо,False,,читання,reading,the letter,True,False,True
okay,yeah,гаразд,так,False,,гаразд,the weather,thats right,False,False,True
red,yellow,червоний,жовтий,False,,червоний,red,yellow,True,True,False
today,yesterday,сьогодні,вчора,False,,сьогодні,today,yesterday,True,True,False
old,young,старий,молодий,False,,старий,old,young,True,True,False
area,zone,площа,зона,False,,площа,square,area,False,False,True
