word_english,sample_size,set_size,set_size_singles,frequency_KF,concrete_M,homograph,pos,Mean_Connectivity,Connectivity_Strength,Resonance_Probability,Resonance_Strength,Accessibility_Index,Non-Responses,Ending_Stem_Set_Size__,Ending_Stem_Strength,Beginning_Stem_Set_Size,Beginning_Stem_Strength,Ending_Fragment_Cue,Ending_Fragment_Set_size,Ending_Fragment_Strength,Beginning_Fragment_Cue,Beginning_Cue_Set_Size,Beginning_Cue_Strength
lovers,148,20,54,10,,,N,,,,,4,0.01,,,,,,,,,,
loving,146,15,49,15,3.04,,AJ,1.54,2.110,0.15,1.520,8,0.04,,,,,---ING,29,0.01,,,
low,148,6,24,174,3.18,T,AJ,0.17,0.950,0.50,1.760,31,0.01,35,0.13,,,-OW,13,0.08,,,
lower,145,11,37,123,3.39,,V,,,,,14,0.01,,,,,,,,,,
loyal,132,18,42,18,2.28,,AJ,2.71,4.530,0.29,1.290,11,0.02,,,,,,,,,,
loyalty,148,14,33,22,1.56,,N,,,,,6,0.02,,,,,,,,,,
lubricate,151,16,27,1,,,V,,,,,2,0.01,,,,,,,,,,
luck,148,16,47,47,2.18,,N,,,,,13,0.03,12,0.16,7,0.17,-UCK,7,0.20,,,
luggage,146,15,28,10,,,N,2.29,4.040,0.21,1.520,7,0.01,5,0.00,8,0.00,,,,,,
lumber,99,8,14,35,6.07,,N,1.38,1.980,0.00,1.000,2,0.01,,,,,,,,,,
lump,149,16,38,7,6.20,,N,0.86,1.610,0.14,1.060,3,0.03,15,0.15,7,0.01,-UMP,7,0.14,,,
lunch,156,17,27,33,5.46,,N,1.88,5.240,0.59,2.210,18,0.00,8,0.19,,,--NCH,12,0.10,,,
lung,138,11,21,16,5.65,,N,1.82,3.090,0.27,1.120,9,0.00,13,0.04,7,0.00,,,,,,
lust,154,8,30,5,3.16,,N,2.29,3.070,0.43,1.200,9,0.01,14,0.29,7,0.07,-UST,7,0.36,,,
luxury,194,22,61,21,3.50,,N,2.11,5.240,0.22,1.100,8,0.02,,,,,,,,,,
macaroni,151,7,16,0,7.00,,N,2.29,2.910,0.14,1.030,3,0.00,14,0.02,,,,,,,,
machine,148,17,52,103,6.75,,N,1.00,2.200,0.53,1.440,39,0.08,,,,,,,,,,
mad,140,11,24,39,3.04,P,AJ,1.80,4.770,0.50,2.060,50,0.01,15,0.18,15,0.19,-AD,8,0.17,M--,10,0.02
made,148,28,70,1125,,,V,,,,,3,0.01,23,0.14,21,0.16,,,,MA--,22,0.10
mafia,150,24,50,0,,,N,,,,,5,0.01,,,,,,,,,,
magazine,119,13,27,39,5.91,,N,,,,,29,0.02,,,15,0.02,-----INE,8,0.01,,,
maggot,148,17,39,0,,,N,1.62,3.080,0.00,1.000,0,0.07,,,,,,,,,,
magic,147,23,65,37,2.13,,N,0.71,0.960,0.47,2.020,19,0.03,,,15,0.03,,,,,,
magician,146,12,41,4,5.56,,N,1.00,1.570,0.22,1.060,6,0.03,,,15,0.00,,,,,,
magnet,150,13,35,3,5.39,,N,0.70,1.960,0.10,1.040,3,0.02,,,,,,,,,,
magnify,153,14,36,3,,,V,,,,,2,0.01,,,15,0.01,,,,,,
magnitude,143,17,51,29,3.03,,N,0.94,1.920,0.00,1.000,0,0.17,,,,,,,,,,
maid,179,20,39,31,6.25,,N,1.00,1.590,0.21,1.870,13,0.08,23,0.14,21,0.13,-AID,5,0.20,MA--,22,0.07
maiden,147,22,53,2,6.52,,N,,,,,0,0.03,,,,,,,,,,
mail,184,15,33,47,4.96,,N,0.86,2.090,0.21,1.400,20,0.08,28,0.06,,,-AIL,11,0.13,MA--,22,0.06
mailbox,150,13,35,1,,,N,2.09,3.680,0.18,1.030,2,0.02,,,,,,,,,,
mailman,150,12,26,1,,,N,,,,,2,0.00,,,,,,,,,,
main,184,27,59,119,2.89,,AJ,0.77,3.390,0.08,1.070,7,0.02,38,0.01,21,0.02,-AIN,6,0.07,MA--,22,0.10
major,130,10,39,247,3.27,P,AJ,0.90,1.750,0.60,1.690,23,0.01,5,0.38,21,0.01,,,,,,
majority,148,13,29,57,3.48,,N,1.50,3.800,0.17,1.250,4,0.02,,,,,,,,,,
make,180,14,49,794,2.89,,V,1.50,2.760,0.50,2.070,40,0.04,20,0.11,21,0.03,-AKE,9,0.08,MA--,22,0.09
make up,133,21,55,5,,,N,,,,,22,0.05,7,0.00,21,0.00,,,,,,
maker,146,17,54,12,4.46,,N,,,,,8,0.05,,,,,,,,,,
malaria,147,11,27,3,,,N,1.90,3.000,0.00,1.000,0,0.01,,,,,,,,,,
male,145,5,25,37,5.48,,N,1.20,1.170,0.40,1.660,20,0.01,28,0.04,21,0.02,,,,MA--,22,0.09
malice,79,9,36,2,1.73,,N,,,,,1,0.08,,,15,0.01,,,,,,
mall,184,8,25,3,5.94,,N,1.50,2.430,0.38,1.620,12,0.06,15,0.04,9,0.27,-ALL,7,0.19,MA--,22,0.07
malt,147,11,28,1,,,N,1.80,2.500,0.00,1.000,1,0.02,7,0.04,,,,,,MAL-,4,0.25
mammal,146,18,31,1,6.31,,N,1.69,3.540,0.31,1.220,10,0.00,3,0.05,15,0.00,,,,,,
man,150,9,28,1207,6.14,,N,0.56,1.350,0.67,2.140,171,0.02,14,0.21,15,0.08,-AN,9,0.02,,,
management,198,27,61,91,3.69,,N,2.45,5.640,0.00,1.000,3,0.04,,,,,,,,,,
manager,148,17,41,88,6.04,,N,2.12,3.670,0.31,1.300,12,0.03,,,,,,,,,,
maniac,79,9,31,4,4.31,,N,,,,,3,0.02,,,,,,,,,,
manner,195,21,52,124,2.93,,N,1.71,2.940,0.12,1.030,2,0.05,,,,,--NNER,8,0.03,,,
manners,145,15,45,15,,,N,2.08,3.950,0.31,1.530,12,0.01,,,15,0.00,,,,,,
mansion,138,12,27,8,,,N,1.36,3.500,0.18,1.050,10,0.00,,,15,0.00,,,,,,
manufacture,149,14,46,18,,,N,1.29,1.470,0.14,1.040,4,0.01,,,,,,,,,,
manufacturer,150,24,47,18,,,N,1.56,2.250,0.06,1.040,1,0.03,,,,,,,,,,
many,146,8,20,1030,2.67,,AJ,2.50,3.390,0.75,2.300,46,0.01,33,0.01,15,0.00,,,,MA--,22,0.01
map,127,16,39,13,5.53,,N,1.53,2.630,0.40,1.730,20,0.00,20,0.10,15,0.32,-AP,9,0.03,,,
maple,98,6,12,7,5.23,,N,1.50,3.540,0.50,1.190,4,0.01,,,21,0.01,,,,M---E,10,0.02
marble,145,22,50,21,6.23,N,N,1.40,4.830,0.15,1.080,7,0.03,,,,,---BLE,19,0.04,,,
march,148,15,42,120,4.20,T,N,,,,,5,0.01,4,0.45,,,,,,,,
mare,146,5,18,16,5.37,,N,1.00,2.740,0.40,1.040,2,0.09,25,0.02,,,,,,MA--,22,0.02
margarine,146,4,12,0,,,N,2.00,1.800,0.50,1.270,2,0.02,18,0.00,,,,,,,,
margin,152,17,34,10,,,N,0.88,2.250,0.00,1.000,1,0.02,,,,,,,,,,
marijuana,147,10,34,10,,,N,2.00,2.460,0.44,1.140,8,0.00,,,,,,,,,,
marine,154,17,42,55,5.95,,AJ,2.81,5.970,0.13,1.100,5,0.03,,,,,,,,,,
marines,152,18,53,11,,,N,2.50,4.210,0.13,1.140,3,0.00,,,,,,,,,,
mark,140,18,48,83,4.60,T,N,2.24,5.040,0.18,1.110,23,0.04,12,0.09,,,-ARK,7,0.14,MA--,22,0.01
marker,148,20,42,5,,,N,2.94,5.820,0.06,1.080,5,0.01,,,,,,,,,,
market,150,14,33,155,4.95,,N,2.00,4.400,0.21,1.220,13,0.02,,,,,---KET,11,0.22,,,
maroon,148,14,35,3,4.82,T,N,,,,,0,0.01,22,0.00,,,,,,,,
marriage,126,19,44,95,3.94,,N,2.00,4.160,0.50,1.930,37,0.02,,,,,,,,,,
marrow,148,4,13,5,3.35,,N,0.25,1.590,0.25,1.120,1,0.10,9,0.09,,,,,,,,
marry,180,21,44,18,3.41,,V,1.86,3.610,0.33,2.110,9,0.08,8,0.00,,,,,,,,
mars,153,13,20,21,,,N,2.42,2.010,0.42,1.720,10,0.00,,,,,,,,MA--,22,0.02
marsh,165,13,31,4,5.70,,N,1.75,2.600,0.17,1.120,2,0.04,,,,,,,,,,
mary,146,15,52,88,,,N,0.89,1.210,0.22,1.110,5,0.01,,,,,,,,,,
mascara,147,11,32,1,,,N,,,,,4,0.01,,,,,,,,,,
mash,178,13,25,1,3.53,,N,,,,,7,0.04,18,0.12,15,0.04,--SH,15,0.03,MA--,22,0.00
mask,165,12,36,9,6.38,,N,0.82,1.550,0.55,1.390,16,0.04,5,0.18,15,0.02,-ASK,3,0.23,MA--,22,0.00
mason,148,20,52,23,,,N,,,,,1,0.10,,,21,0.01,,,,,,
mass,132,19,49,110,4.09,P,N,1.41,3.010,0.18,1.060,12,0.02,19,0.09,15,0.03,,,,MA--,22,0.02
massage,150,15,46,2,,,N,,,,,5,0.01,,,,,----AGE,25,0.03,,,
master,197,24,64,72,5.53,G,N,1.36,1.780,0.14,1.140,9,0.08,,,15,0.01,,,,,,
mastery,141,20,71,10,2.20,,N,1.20,1.410,0.00,1.000,0,0.17,,,,,,,,,,
mat,148,12,28,5,5.02,,N,1.00,2.130,0.33,1.190,6,0.03,15,0.07,15,0.04,-AT,9,0.03,,,
match,147,18,36,41,5.31,N,N,0.89,2.160,0.33,1.180,19,0.01,10,0.12,,,-ATCH,7,0.14,,,
mate,142,19,43,21,4.97,G,N,3.37,7.430,0.26,1.280,13,0.04,25,0.15,21,0.01,-ATE,7,0.10,MA--,22,0.09
material,147,17,47,174,6.10,,N,1.47,2.730,0.24,1.420,24,0.04,,,,,,,,,,
math,165,19,42,4,3.78,,N,2.26,2.560,0.58,4.500,80,0.01,6,0.05,15,0.12,-ATH,4,0.41,MA--,22,0.05
matter,140,25,47,342,,,N,1.30,2.500,0.26,1.260,6,0.06,14,0.30,15,0.01,-ATTER,6,0.36,,,
mattress,152,10,28,0,6.36,,N,0.90,1.760,0.20,1.050,3,0.04,,,,,,,,,,
mature,144,15,36,31,2.39,,AJ,2.64,6.090,0.36,1.240,13,0.02,,,,,,,,,,
maximum,152,14,34,79,,,N,1.09,1.460,0.27,1.500,5,0.01,,,,,,,,,,
maybe,154,23,43,134,,,AD,,,,,14,0.01,2,0.12,21,0.16,-AYBE,1,0.92,MAY--,2,0.71
mayonnaise,147,17,33,2,,,N,1.27,2.750,0.07,1.090,5,0.01,,,,,,,,,,
mayor,148,20,49,38,4.75,,N,2.47,4.490,0.11,1.160,2,0.01,,,21,0.02,,,,,,
maze,127,13,34,6,5.02,,N,1.38,2.080,0.15,1.510,5,0.04,20,0.26,21,0.02,,,,MA--,22,0.01
mcdonald's,149,11,26,0,,,N,,,,,3,0.00,,,,,,,,,,
me,150,12,42,1181,5.00,,P,,,,,103,0.03,33,0.10,,,,,,M-,3,0.69
meadow,144,16,34,17,6.69,,N,2.50,4.740,0.13,1.090,4,0.03,,,15,0.02,,,,,,
meal,127,6,18,30,5.98,T,N,2.50,3.910,0.83,1.200,21,0.00,17,0.10,,,,,,ME--,12,0.12
mean,145,18,48,199,3.09,N,N,1.53,2.960,0.59,2.550,119,0.07,19,0.08,,,,,,ME--,12,0.13
meaning,148,19,38,127,2.05,,N,1.61,2.570,0.22,1.450,13,0.03,,,,,,,,,,
meaningful,151,22,66,24,,,AJ,,,,,7,0.06,,,,,,,,,,
means,148,13,53,310,2.15,,V,,,,,1,0.11,,,,,,,,,,
measure,148,23,43,91,3.56,,N,1.14,1.650,0.41,1.740,26,0.03,,,,,,,,,,
measurement,138,23,41,34,4.33,,N,1.96,4.010,0.09,1.110,7,0.05,14,0.00,15,0.00,,,,,,
meat,149,17,30,45,6.93,,N,1.82,3.380,0.53,2.110,68,0.03,17,0.18,,,-E-T,18,0.10,ME--,12,0.36
meatballs,154,11,28,0,,,N,2.09,4.000,0.09,1.240,1,0.01,,,,,,,,,,
mechanic,146,14,31,5,6.33,,N,2.21,4.620,0.14,1.050,5,0.02,21,0.00,15,0.00,,,,,,
mechanical,140,19,37,34,3.81,,AJ,1.47,2.330,0.16,1.160,5,0.01,,,,,,,,,,
medal,147,14,32,7,5.59,,N,1.71,4.030,0.36,1.240,8,0.02,,,15,0.00,,,,M--AL,5,0.02
media,148,15,37,13,,,N,1.00,1.880,0.15,1.120,3,0.01,,,,,,,,,,
medical,153,12,49,162,,,AJ,2.00,3.210,0.08,1.010,9,0.01,,,15,0.01,,,,,,
medication,147,14,33,2,,,N,3.23,4.090,0.15,1.040,3,0.01,,,,,,,,,,
medicine,184,27,48,30,5.27,,N,2.42,7.520,0.39,1.860,46,0.04,,,,,-----INE,8,0.08,MEDI----,8,0.48
medieval,144,13,41,18,,,AJ,,,,,3,0.01,15,0.00,,,,,,MEDI----,8,0.05
mediocre,153,17,47,5,,,AJ,,,,,2,0.06,,,,,,,,MEDI----,8,0.01
medium,148,12,27,45,2.53,,N,1.33,2.590,0.33,1.250,5,0.01,,,,,,,,,,
meek,149,16,48,10,3.37,,AJ,2.08,4.130,0.15,1.050,4,0.10,17,0.05,,,,,,ME--,12,0.01
meet,145,18,60,148,3.37,,V,,,,,11,0.06,17,0.05,,,-E-T,24,0.04,ME--,12,0.13
meeting,146,13,45,159,4.80,,N,1.38,2.000,0.31,1.520,18,0.03,,,,,,,,,,
mellow,143,13,42,1,,,AJ,1.31,2.340,0.15,1.040,5,0.01,6,0.27,15,0.01,--LLOW,8,0.18,,,
melody,140,5,14,31,4.28,,N,1.80,2.400,0.80,1.150,4,0.00,,,,,,,,,,
melt,165,17,36,4,4.04,,V,1.50,3.230,0.25,1.060,14,0.02,7,0.17,15,0.02,-E-T,18,0.01,ME--,12,0.09
member,148,18,55,137,5.60,,N,1.50,2.020,0.29,1.100,9,0.03,,,15,0.01,,,,,,
memorial,152,20,43,23,,,N,1.75,4.250,0.10,1.050,3,0.01,,,,,,,,,,
memories,153,22,58,15,,,N,,,,,6,0.04,,,,,,,,,,
memory,142,15,49,76,1.78,,N,1.86,5.590,0.36,1.320,18,0.06,,,,,,,,,,
men,153,10,36,763,6.09,,N,,,,,29,0.01,12,0.06,15,0.06,,,,,,
mend,145,11,20,2,3.54,,V,1.36,3.290,0.46,1.280,8,0.01,17,0.11,15,0.00,,,,ME--,12,0.01
mental,151,21,56,43,,,AJ,,,,,9,0.00,,,,,,,,,,
menthol,148,16,39,0,,,N,,,,,0,0.03,,,,,,,,,,
meow,149,3,16,0,,,I,0.67,1.840,0.33,1.060,2,0.03,,,,,,,,ME--,12,0.06
meringue,79,4,8,0,4.93,,N,,,,,0,0.34,,,,,,,,,,
merit,148,15,34,29,,,N,,,,,2,0.03,,,,,,,,,,
mermaid,148,21,35,0,5.09,,N,,,,,1,0.00,,,,,,,,,,
mess,143,18,42,22,3.75,T,N,1.67,3.750,0.13,1.180,41,0.06,20,0.27,15,0.07,,,,ME--,12,0.01
message,130,16,38,64,4.55,,N,1.67,2.930,0.13,1.110,12,0.02,5,0.00,15,0.00,----AGE,25,0.07,,,
messy,142,17,33,3,3.30,,AJ,3.36,4.790,0.29,1.880,19,0.06,,,15,0.07,,,,,,
metal,149,16,52,61,6.76,,N,1.19,2.710,0.56,1.790,45,0.03,,,15,0.03,,,,M--AL,5,0.18
meteor,146,16,33,3,,,N,3.47,5.720,0.20,1.170,3,0.03,28,0.00,,,,,,,,
meteorite,148,15,42,6,,,N,3.50,5.040,0.00,1.000,1,0.02,,,,,,,,,,
meter,140,16,34,18,,,N,0.73,2.220,0.27,1.140,10,0.06,,,,,,,,,,
method,147,13,48,142,2.20,,N,1.33,1.620,0.50,1.260,14,0.10,,,,,,,,,,
methodist,152,8,18,13,,,N,4.12,4.310,0.25,1.070,2,0.00,,,,,,,,,,
meticulous,154,16,57,1,,,AJ,,,,,3,0.09,,,,,,,,,,
metre,79,10,17,1,4.07,,N,,,,,0,0.11,,,,,,,,,,
metric,153,13,33,0,,,AJ,1.31,1.480,0.08,1.010,2,0.02,,,,,,,,,,
mexico,150,18,50,19,,,N,,,,,5,0.13,,,,,,,,,,
mice,147,15,26,10,,,N,1.69,3.990,0.00,1.000,5,0.01,15,0.21,,,,,,,,
microphone,146,18,42,4,,,N,4.00,6.260,0.13,1.080,4,0.01,,,,,,,,,,
microscope,139,19,39,8,5.74,,N,,,,,8,0.01,,,,,,,,,,
microwave,152,14,30,2,,,N,1.27,2.720,0.09,1.010,6,0.02,,,,,,,,,,
middle,145,19,50,118,2.83,,AJ,0.89,3.350,0.32,1.900,14,0.04,7,0.05,12,0.04,-IDDLE,4,0.43,,,
midget,152,8,30,0,,,N,2.29,3.630,0.29,1.280,3,0.01,,,,,,,,,,
midnight,150,20,43,23,,,N,1.12,1.870,0.12,1.120,5,0.01,,,,,,,,,,
might,148,16,30,672,2.40,W,V,,,,,3,0.03,19,0.19,,,-IGHT,8,0.06,,,
migraine,152,6,13,0,,,N,1.83,2.790,0.17,1.060,1,0.01,,,,,,,,,,
mild,146,20,48,14,3.26,,AJ,1.22,3.170,0.06,1.020,2,0.01,14,0.14,,,,,,,,
mildew,147,22,45,1,6.00,,N,1.59,4.350,0.18,1.150,4,0.03,,,,,,,,,,
mile,138,16,26,48,4.71,,N,2.25,4.000,0.25,1.800,7,0.03,15,0.11,,,,,,,,
military,139,19,53,212,,,AJ,1.78,3.730,0.39,1.210,23,0.00,8,0.00,12,0.00,,,,,,
milk,165,18,35,49,6.66,,N,1.29,3.130,0.59,2.850,41,0.00,3,0.67,,,--LK,11,0.41,,,
mill,147,22,56,11,,,N,0.90,1.920,0.15,1.100,5,0.03,15,0.02,12,0.00,-ILL,11,0.05,,,
million,153,10,25,204,,,N,,,,,3,0.01,,,,,,,,,,
mimic,153,15,37,0,3.18,,V,,,,,2,0.03,,,,,,,,,,
mind,143,10,40,325,2.60,N,N,1.67,1.920,0.78,1.460,51,0.02,12,0.12,,,-IND,7,0.44,,,
minded,150,21,49,3,,,AJ,,,,,3,0.07,,,,,,,,,,
mine,146,11,32,59,4.37,N,N,1.22,1.440,0.44,2.200,27,0.02,21,0.14,,,-INE,8,8.00,,,
miner,150,15,30,1,5.47,,N,0.64,1.650,0.07,1.050,2,0.03,,,,,,,,,,
mineral,148,12,23,12,,,N,0.82,1.490,0.27,1.100,7,0.03,,,12,0.00,,,,,,
minimum,149,11,28,64,,,AJ,,,,,2,0.01,,,,,,,,,,
minister,152,12,27,61,5.75,,N,,,,,3,0.00,,,,,,,,,,
mink,143,7,15,5,5.68,,N,1.50,1.650,0.33,1.080,2,0.01,18,0.05,,,-INK,8,0.08,,,
minor,143,13,26,58,3.49,,N,1.09,2.200,0.18,1.420,8,0.01,,,,,,,,,,
minority,140,12,26,25,,,N,1.42,1.760,0.08,1.370,1,0.01,,,,,,,,,,
mint,148,24,50,7,,N,N,2.05,4.400,0.00,1.000,4,0.01,11,0.10,12,0.01,,,,,,
mints,150,13,31,7,5.63,,N,1.91,2.210,0.00,1.000,1,0.05,,,12,0.01,,,,,,
minus,148,10,16,8,2.75,,PP,1.00,2.780,0.40,1.900,8,0.00,,,,,,,,,,
minute,147,7,18,53,3.52,T,N,1.14,2.480,0.43,1.670,8,0.03,,,,,,,,,,
minutes,148,5,17,196,3.52,,N,,,,,3,0.01,,,,,,,,,,
mirage,128,15,38,0,3.14,,N,2.20,4.150,0.27,1.160,4,0.04,,,,,,,,,,
mirror,107,8,25,27,5.91,G,N,1.12,2.130,0.63,2.070,19,0.04,,,,,,,,,,
mischief,195,21,51,5,2.90,,N,,,,,1,0.04,,,,,,,,,,
misery,144,19,49,15,2.28,,N,1.59,4.460,0.06,1.010,2,0.05,,,,,,,,,,
miss,139,14,46,258,3.68,N,V,0.85,1.400,0.23,1.230,11,0.02,9,0.26,12,0.12,-ISS,4,0.10,,,
misses,147,22,57,5,,,V,0.12,0.700,0.00,1.000,1,0.09,,,,,,,,,,
missile,146,21,52,48,6.80,,N,2.13,3.860,0.13,1.040,3,0.03,6,0.16,,,,,,,,
missing,151,11,32,33,,,V,0.80,2.610,0.30,1.180,8,0.00,,,,,,,,,,
mission,146,18,54,78,,,N,1.06,2.570,0.17,1.160,5,0.03,,,,,,,,,,
mist,156,11,26,14,4.42,,N,1.91,3.140,0.46,1.390,8,0.01,16,0.13,16,0.10,-IST,4,0.06,,,
mistake,146,11,36,34,2.70,,N,1.64,3.430,0.46,1.850,19,0.04,,,12,0.00,,,,,,
mister,149,12,29,10,3.32,,N,,,,,1,0.04,,,12,0.01,,,,,,
mistreat,145,16,37,0,,,V,1.80,2.770,0.07,1.050,1,0.03,17,0.00,12,0.00,,,,,,
mitten,180,9,17,2,6.37,,N,1.00,3.060,0.11,1.130,3,0.00,,,12,0.03,-ITTEN,3,0.09,,,
mix,132,14,41,13,,,V,1.46,1.880,0.54,2.770,17,0.02,16,0.11,12,0.06,,,,,,
mixed,149,21,52,37,,,AJ,,,,,1,0.01,,,,,,,,,,
mixture,148,20,58,30,,,N,1.87,4.020,0.20,1.220,5,0.02,,,,,,,,,,
moat,153,15,33,0,4.98,,N,2.00,3.900,0.07,1.080,1,0.08,15,0.08,,,,,,MO--,15,0.06
mob,127,10,26,10,5.10,,N,2.00,2.580,0.40,1.590,5,0.00,16,0.09,,,-OB,7,0.11,,,
model,130,20,57,77,,T,N,1.05,2.850,0.25,1.110,19,0.02,4,0.80,9,0.00,---EL,17,0.03,MO---,22,0.02
modern,147,15,59,198,,,AJ,1.73,4.160,0.27,1.370,6,0.00,,,9,0.00,,,,,,
modest,146,14,60,29,2.18,,AJ,1.86,2.790,0.07,1.120,2,0.07,,,,,,,,,,
moist,138,5,23,11,3.51,,AJ,1.60,2.430,0.60,1.150,5,0.05,3,0.15,16,0.01,,,,MO---,22,0.02
molasses,153,16,33,1,,,N,2.27,5.230,0.13,1.020,2,0.04,,,,,,,,,,
mold,148,15,37,45,4.75,N,N,1.43,2.090,0.50,1.820,20,0.03,11,0.17,16,0.01,-OLD,8,0.10,,,
mole,147,26,52,4,5.86,C,N,1.70,3.520,0.13,1.150,3,0.04,19,0.08,16,0.01,-OLE,6,0.21,MO--,15,0.18
molecule,150,8,25,6,5.38,,N,2.00,2.700,0.29,1.100,5,0.03,,,,,,,,,,
molten,148,8,29,0,,,AJ,1.50,2.260,0.13,1.030,1,0.09,,,,,,,,,,
mom,145,5,23,3,6.40,,N,1.20,1.200,0.60,1.830,35,0.01,,,9,0.04,,,,,,
moment,196,14,42,246,2.68,,N,1.14,2.450,0.14,1.040,8,0.02,,,16,0.01,,,,,,
monarch,126,10,32,3,6.40,,N,1.78,2.880,0.22,1.050,2,0.05,,,,,,,,,,
monarchy,154,14,40,0,,,N,2.50,3.970,0.17,1.100,2,0.02,,,,,,,,,,
monastery,145,7,18,2,5.44,,N,2.14,3.530,0.29,1.100,2,0.05,,,9,0.00,,,,,,
monday,150,17,35,68,,,N,2.47,3.160,0.20,1.410,6,0.02,,,,,,,,,,
money,158,19,54,265,5.77,,N,1.39,2.910,0.89,5.530,302,0.03,4,0.18,16,0.01,-ONEY,2,0.43,MO---,22,0.21
mongoose,127,8,30,0,5.76,,N,1.71,2.340,0.00,1.000,0,0.09,,,,,,,,,,
monk,130,8,39,16,6.63,,N,2.14,2.670,0.43,1.620,5,0.08,18,0.03,,,,,,,,
monkey,144,22,46,9,5.46,,N,1.24,2.920,0.38,2.450,23,0.07,,,16,0.02,,,,,,
monopoly,153,11,36,14,,,N,0.80,1.270,0.10,1.120,3,0.00,,,,,,,,,,
monotonous,153,12,44,8,,,AJ,0.67,1.570,0.11,1.030,2,0.05,,,,,,,,,,
monster,165,22,52,6,5.08,,N,1.68,2.400,0.26,1.910,22,0.01,,,,,,,,,,
month,149,17,23,130,3.20,,N,,,,,6,0.02,,,,,,,,MO---,22,0.10
monthly,152,15,34,23,,,AJ,,,,,6,0.00,,,,,,,,,,
monument,140,17,35,29,,,N,,,,,4,0.03,,,,,,,,,,
moo,150,2,5,0,,,V,0.00,0.973,1.00,1.061,1,0.01,32,0.06,9,0.10,,,,,,
mood,197,17,56,37,1.52,,N,2.25,6.100,0.38,1.170,13,0.02,16,0.25,9,0.04,-OOD,5,0.10,MO--,15,0.03
moon,127,10,32,60,5.68,,N,1.90,3.030,0.70,1.400,37,0.00,22,0.32,9,0.10,-OON,6,0.37,MO--,15,0.09
moonlight,148,19,43,13,,,N,1.62,4.110,0.06,1.030,1,0.00,,,,,,,,,,
moose,165,18,40,0,6.03,,N,2.17,4.960,0.22,1.310,7,0.04,8,0.34,9,0.04,-OOSE,4,0.31,MO---,22,0.01
mop,127,13,28,3,6.29,,N,1.46,3.700,0.39,1.210,7,0.01,16,0.11,9,0.01,-OP,6,0.18,,,
moral,146,22,59,142,1.39,,AJ,1.05,1.740,0.09,1.280,9,0.12,9,0.21,,,,,,M--AL,5,0.21
morals,152,22,69,7,1.39,,N,,,,,7,0.03,,,,,,,,,,
more,127,9,23,2216,2.77,,AJ,1.25,1.920,0.50,1.750,26,0.04,28,0.21,,,-ORE,8,0.21,MO--,15,0.08
morning,148,18,33,211,5.11,,N,1.89,4.560,0.56,2.090,28,0.00,,,,,,,,,,
moron,154,10,28,0,,,N,2.50,3.430,0.25,1.070,2,0.03,,,,,,,,MO---,22,0.02
morse,150,5,28,29,,,AJ,0.80,1.110,0.20,1.100,1,0.11,7,0.01,,,,,,,,
mortgage,126,11,24,17,4.44,,N,3.18,6.470,0.00,1.000,2,0.01,,,,,,,,,,
mosque,79,10,28,10,4.74,,N,,,,,0,0.24,,,,,,,,,,
mosquito,138,10,23,1,6.96,,N,1.90,2.790,0.50,1.190,10,0.01,,,,,,,,,,
moss,152,11,38,9,5.60,,N,1.62,2.570,0.25,1.030,3,0.06,10,0.20,9,0.03,-OSS,4,0.21,MO--,15,0.12
most,139,12,29,1160,3.17,,AJ,2.25,3.730,0.42,1.670,11,0.01,8,0.08,16,0.01,,,,MO--,15,0.06
motel,179,13,31,24,6.18,,N,1.00,1.460,0.25,1.340,6,0.08,,,16,0.01,---EL,17,0.01,MO---,22,0.02
moth,165,14,28,1,5.46,,N,1.71,3.880,0.14,1.160,3,0.02,4,0.14,9,0.21,-OTH,2,0.42,MO--,15,0.05
mother,196,13,24,216,5.47,,N,2.46,4.060,0.69,2.200,48,0.03,,,16,0.15,----ER,37,0.05,,,
motion,140,16,37,55,3.63,T,N,1.93,2.420,0.40,1.350,13,0.02,10,0.26,16,0.02,-OTION,4,0.29,,,
motionless,154,12,37,7,,,V,,,,,1,0.03,,,,,,,,,,
motor,149,13,20,56,6.24,,N,1.83,4.050,0.25,1.130,8,0.00,,,16,0.04,---OR,11,0.03,MO---,22,0.12
motorcycle,138,20,43,0,,,N,0.94,3.060,0.29,1.710,9,0.01,,,16,0.00,,,,,,
mountain,98,17,35,33,6.25,,N,1.29,2.170,0.50,2.840,58,0.02,,,5,0.07,,,,,,
mouse,138,10,23,10,6.12,,N,1.30,3.160,0.70,2.170,20,0.02,7,0.23,5,0.27,-OUSE,3,0.32,MO---,22,0.05
mousse,147,14,40,0,4.81,,N,1.15,2.210,0.23,1.070,3,0.03,,,,,,,,,,
mouth,184,19,36,103,5.47,,N,1.58,5.230,0.47,2.110,47,0.02,,,5,0.41,-OUTH,3,0.66,MO---,22,0.01
move,177,27,60,171,3.81,,V,2.54,8.190,0.33,2.000,58,0.04,,,9,0.59,-OVE,4,0.03,MO--,15,0.06
movement,142,16,52,128,4.03,,N,2.12,4.110,0.31,1.440,12,0.03,,,9,0.00,,,,,,
movie,200,21,43,29,5.85,,N,2.19,2.620,0.81,4.770,103,0.05,,,9,0.01,,,,MO---,22,0.01
mow,138,7,14,0,,,V,1.83,2.060,0.33,1.170,4,0.01,35,0.03,16,0.47,,,,,,
